SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL
24700,"76061","1","DC Comics Super Heroes","Mighty Micros","2016","Batman vs. Catwoman",,79,,9.99,,,"http://images.brickset.com/sets/images/76061-1.jpg"
24701,"76062","1","DC Comics Super Heroes","Mighty Micros","2016","Robin vs. Bane",,77,,9.99,,,"http://images.brickset.com/sets/images/76062-1.jpg"
24702,"76063","1","DC Comics Super Heroes","Mighty Micros","2016","The Flash vs. Captain Cold",,88,,9.99,,,"http://images.brickset.com/sets/images/76063-1.jpg"
24749,"76064","1","Marvel Super Heroes","Mighty Micros","2016","Spider-Man vs. Green Goblin",,85,,9.99,,,"http://images.brickset.com/sets/images/76064-1.jpg"
24750,"76065","1","Marvel Super Heroes","Mighty Micros","2016","Captain America vs. Red Skull",,95,,9.99,,,"http://images.brickset.com/sets/images/76065-1.jpg"
24751,"76066","1","Marvel Super Heroes","Mighty Micros","2016","Hulk vs. Ultron",,80,,9.99,,,"http://images.brickset.com/sets/images/76066-1.jpg"
25891,"76067","1","Marvel Super Heroes","Captain America: Civil War","2016","{?}",,,,,,,
26046,"850805","1","Gear","Housewares","2016","Drinking Bottle—Blue",,,6.99,,,7.99,"http://images.brickset.com/sets/images/850805-1.jpg"
26074,"850806","1","Gear","Housewares","2016","Drinking Bottle Pink",,,6.99,,,7.99,
26047,"850817","1","Gear","Housewares","2016","Drinking Bottle",,,6.99,,,7.99,"http://images.brickset.com/sets/images/850817-1.jpg"
25878,"853505","1","Gear","Role-Play toys","2016","NK Sword Standard",,,6.99,9.99,11.99,7.99,"http://images.brickset.com/sets/images/853505-1.jpg"
25877,"853506","1","Gear","Role-Play toys","2016","NK Shield Standard",,,8.49,12.99,15.99,9.99,"http://images.brickset.com/sets/images/853506-1.jpg"
25886,"853519","1","Gear","Playmats","2016","NK Playmat",,,10.99,14.99,17.99,12.99,"http://images.brickset.com/sets/images/853519-1.jpg"
25879,"853534","1","Gear","Key Chains/Ninjago","2016","Airjitzu Jay Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853534-1.jpg"
25887,"853543","1","Ninjago","","2016","Ninjago Party Set",,70,5.99,7.99,9.99,6.99,"http://images.brickset.com/sets/images/853543-1.jpg"
25896,"853547","1","Gear","Key Chains/Friends","2016","Emma Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853547-1.jpg"
25880,"853548","1","Gear","Key Chains/Friends","2016","Andrea Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853548-1.jpg"
25881,"853549","1","Gear","Key Chains/Friends","2016","Mia Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853549-1.jpg"
25882,"853550","1","Gear","Key Chains/Friends","2016","Stephanie Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853550-1.jpg"
25897,"853551","1","Gear","Key Chains/Friends","2016","Olivia Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853551-1.jpg"
25876,"853555","1","Gear","Stationery","2016","Campsite Scrapbook",,,10.99,14.99,17.99,12.99,"http://images.brickset.com/sets/images/853555-1.jpg"
25883,"853568","1","Gear","Key Chains/City","2016","Prison Guard Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853568-1.jpg"
25875,"853570","1","City","Police","2016","Police Accessory Set",,26,10.99,14.99,17.99,12.99,"http://images.brickset.com/sets/images/853570-1.jpg"
25884,"853571","1","Gear","Key Chains/Miscellaneous","2016","Hot Dog Guy Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853571-1.jpg"
25885,"853572","1","Gear","Key Chains/Miscellaneous","2016","Bumble Bee Key Chain",,,3.99,5.99,6.99,4.99,"http://images.brickset.com/sets/images/853572-1.jpg"
25965,"853599","1","Gear","Magnets/Minifigures","2016","New York Minifigure Magnet",,,,,,,"http://images.brickset.com/sets/images/853599-1.jpg"
25964,"853601","1","Gear","Key Chains/Locations","2016","New York Key Chain",,,,,,,
25946,"2000447","1","Education","","2016","Mini Milo",,31,,,,,"http://images.brickset.com/sets/images/2000447-1.jpg"
25950,"2045300","1","Education","","2016","WeDo 2.0 Curriculum Pack",,,,,,,"http://images.brickset.com/sets/images/2045300-1.jpg"
25011,"5002946","1","Marvel Super Heroes","","2016","Silver Centurion",1,12,,,,,"http://images.brickset.com/sets/images/5002946-1.jpg"
25854,"5004388","1","Nexo Knights","Miscellaneous","2016","Nexo Knights Intro Pack",1,8,,,,,"http://images.brickset.com/sets/images/5004388-1.jpg"
25968,"5004389","1","Nexo Knights","Miscellaneous","2016","Battle Station",,19,,,,,"http://images.brickset.com/sets/images/5004389-1.jpg"
